LOC_ID,ID_Provincia,CPA,Localidad,Provincia,Departamento,Long,Lat,noLNG,noLAT,ID_GEO,DeptoID,observaciones,fuente coordenadas
4395,A,A4407LSL,LA SILLETA,SALTA,ROSARIO DE LERMA,"-65,5833","-24,8667","-65,55","-24,86667",14345,A8,,coincidentes varias bases
21693,A,A4409I6T,LAS CAPILLAS,SALTA,ROSARIO DE LERMA,"-66,0333","-24,6167","-66,01667","-24,65",14376,A8,,coincidentes varias bases
3407,A,A4405RDL,ROSARIO DE LERMA,SALTA,ROSARIO DE LERMA,"-65,5833","-24,9833","-65,58333","-24,98333",14742,A8,,coincidentes varias bases
18965,A,A4409A2V,SAN BERNARDO DE LAS ZORRAS,SALTA,ROSARIO DE LERMA,"-65,8803","-24,5485","-65,8","-24,43333",14776,A8,,mapawi
19531,A,A4409S4V,TRES CRUCES,SALTA,ROSARIO DE LERMA,"-65,7333","-24,8667","-65,73333","-25,86667",14943,A8,,mapawi
4402,A,A4431ECM,EL CARMEN,SALTA,SAN CARLOS,"-66,1833","-25,6000","-66,18333","-25,6",14041,A19,,acageopc
18966,A,A4427A3V,SAN CARLOS,SALTA,SAN CARLOS,"-65,9333","-25,9333","-64,66667","-22,88333",14777,A19,,coincidentes varias bases
4385,J,J54179JU,9 DE JULIO,SAN JUAN,9 DE JULIO,"-68,4000","-31,6500","-68,39257","-31,66896",15015,J15,,coincidentes varias bases
20942,J,J5419J6X,EST ALBARDON,SAN JUAN,ALBARDON,"-68,5000","-31,4000","-68,58085","-31,15678",15345,J8,,dices.net
4618,J,J5415ANG,ANGACO NORTE,SAN JUAN,ANGACO,"-68,3812","-31,4492","-68,41106","-31,45184",15040,J7,,coincidentes varias bases
19874,J,J5405G2W,BARREAL,SAN JUAN,CALINGASTA,"-69,4667","-31,6333","-69,46667","-31,63333",15072,J4,,coincidentes varias bases
19052,J,J5401Q5Z,ZONDA,SAN JUAN,CALINGASTA,"-68,7333","-31,5500","-68,73333","-31,55",15885,J4,,coincidentes varias bases
4172,J,J5400BPC,BARRIO CONCEPCION,SAN JUAN,CAPITAL,"-68,5612","-31,4374","-67,07848","-31,75361",15290,J14,,coincidentes varias bases
1973,J,J5400SJU,SAN JUAN,SAN JUAN,CAPITAL,"-68,5364","-31,5375","-68,53333","-31,53333",15772,J14,,coincidentes varias bases
18538,J,J5447F1Z,SANJUANINO,SAN JUAN,CAPITAL,"-68,4924","-31,5346","-67,57253","-30,86663",15777,J14,CIUDAD DE SAN JUAN,postcodequery.com
18544,J,J5447F7Z,SARMIENTO,SAN JUAN,CAPITAL,"-68,4924","-31,5346","-68,49241","-31,53461",15784,J14,SOCIO 140837/16 VIVE ESTA LOCALIDAD. BUSQUÉ SU NRO DE TEL EN INTERNET Y EL DOMICILIO CORRESPONDE A LA CIUDAD DE SAN JUAN,postcodequery.com
3516,J,J5400VMI,VILLA MARINI,SAN JUAN,CAPITAL,"-68,5612","-31,4374","-67,07848","-31,75361",15859,J14,,coincidentes varias bases
1965,J,J5442CAU,CAUCETE,SAN JUAN,CAUCETE,"-68,2853","-31,6542","-68,28362","-31,64887",15122,J6,,coincidentes varias bases
1966,J,J5413CHI,CHIMBAS,SAN JUAN,CHIMBAS,"-68,5333","-31,4833","-68,51776","-31,46079",15245,J11,,coincidentes varias bases
19044,J,J5413P6Z,VILLA SANTA PAULA,SAN JUAN,CHIMBAS,"-68,5333","-31,4833","-68,43111","-31,53521",15877,J11,,coincidentes varias bases
21200,J,J5467P5X,IGLESIA,SAN JUAN,IGLESIA,"-69,2236","-30,4144","-69,28333","-30,36667",15398,J1,,coincidentes varias bases
21492,J,J5467Z1X,LAS FLORES,SAN JUAN,IGLESIA,"-69,2108","-30,3242","-69,2","-30,31667",15485,J1,,coincidentes varias bases
18524,J,J5465D5Z,RODEO,SAN JUAN,IGLESIA,"-69,1394","-30,2164","-69,13333","-30,21667",15762,J1,,coincidentes varias bases
21194,J,J5463O8X,HUACO,SAN JUAN,JACHAL,"-68,5167","-30,1500","-68,5","-30,15",15392,J2,,coincidentes varias bases
21206,J,J5460Q2X,JACHAL,SAN JUAN,JACHAL,"-68,7458","-30,2425","-68,7467","-30,24148",15404,J2,,coincidentes varias bases
20118,J,J5435K7W,CARPINTERIA,SAN JUAN,POCITO,"-68,5528","-31,8228","-68,56667","-31,83333",15115,J17,,coincidentes varias bases
17989,J,J5429Q6Y,POCITO,SAN JUAN,POCITO,"-68,5833","-31,6833","-68,58333","-31,68333",15645,J17,,acageopc
3362,J,J5427VAB,POCITO-ABERASTAIN,SAN JUAN,POCITO,"-68,5833","-31,6500","-68,58056","-31,65572",15828,J17,,coincidentes varias bases
3024,J,J5423CLZ,CAPITAL LAZO,SAN JUAN,RAWSON,"-68,2028","-31,8472","-68,8","-31,5",15113,J16,,coincidentes varias bases
21467,J,J5425W3X,LA ORILLA,SAN JUAN,RAWSON,"-68,5333","-31,5667","-68,45161","-31,64057",15460,J16,,coincidentes varias bases
1971,J,J5425RAW,RAWSON,SAN JUAN,RAWSON,"-68,5333","-31,5667","-68,45161","-31,64057",15080,J16,,coincidentes varias bases
4181,J,J5425VKR,V.KRAUSE,SAN JUAN,RAWSON,"-68,5333","-31,5667","-68,54058","-31,57696",15854,J16,,coincidentes varias bases
21765,J,J5407H6Y,MARQUESADO,SAN JUAN,RIVADAVIA,"-68,6167","-31,5167","-68,63247","-31,5214",15563,J13,,coincidentes varias bases
4604,J,J5400RVD,RIVADAVIA,SAN JUAN,RIVADAVIA,"-68,5947","-31,5330","-68,55","-31,55",15761,J13,,wikipedia
19843,J,J5417C7W,ANGACO SUD,SAN JUAN,SAN MARTIN,"-68,4000","-31,6500","-66,10672","-31,7196",15041,J10,,coincidentes varias bases
18535,J,J5439E7Z,SAN MARTIN,SAN JUAN,SAN MARTIN,"-68,3333","-31,5500","-68,33333","-31,53333",15774,J10,,coincidentes varias bases
3086,J,J5411CRT,COLONIA RICHET,SAN JUAN,SANTA LUCIA,"-68,4833","-31,5333","-68,4055","-31,6252",15269,J12,,coincidentes varias bases
4349,J,J5411STL,SANTA LUCIA,SAN JUAN,SANTA LUCIA,"-68,4833","-31,5333","-68,5","-31,53333",15781,J12,,coincidentes varias bases
4639,J,J5431BER,LOS BERROS,SAN JUAN,SARMIENTO,"-68,6622","-31,9511","-68,66667","-31,95",15517,J19,,wikipedia
4638,J,J5435MED,MEDIA AGUA,SAN JUAN,SARMIENTO,"-68,4000","-31,9833","-68,4","-31,98333",15860,J19,,acageopc
18782,J,J5409J6Z,ULLUM,SAN JUAN,ULLUM,"-68,7333","-31,4667","-68,7","-31,46667",15819,J5,,acageopc
19052,J,J5401Q5Z,ZONDA,SAN JUAN,ZONDA,"-68,7333","-31,5500","-68,73333","-31,55",15885,J9,,coincidentes varias bases
4479,D,D5759NSH,NASCHEL,SAN LUIS,CHACABUCO,"-65,4750","-32,7833","-65,46667","-32,93333",16782,D4,,coincidentes varias bases
3111,D,D5733CRA,CRAMER,SAN LUIS,GENERAL PEDERNERA,"-65,3667","-33,7000","-65,35","-33,7",16112,D7,,coincidentes varias bases
20474,D,D5730ZAO,ESTANCIA LAS BEBIDAS,SAN LUIS,GENERAL PEDERNERA,"-66,7000","-33,0250","-65,01027","-33,3838",16299,D7,,mapawi
20717,D,D5735HAR,JUAN LLERENA,SAN LUIS,GENERAL PEDERNERA,"-65,6167","-33,2667","-65,61667","-33,28333",16345,D7,,coincidentes varias bases
1881,D,D5738JDR,JUSTO DARACT,SAN LUIS,GENERAL PEDERNERA,"-65,1833","-33,8667","-65,18333","-33,86667",16349,D7,,coincidentes varias bases
1883,D,D5730MER,VILLA MERCEDES,SAN LUIS,GENERAL PEDERNERA,"-65,4972","-33,8667","-65,46667","-33,68333",17103,D7,,coincidentes varias bases
19103,D,D6389W2Z,ARIZONA,SAN LUIS,GOBERNADOR DUPUY,"-65,3000","-35,7167","-65,3","-35,81667",15939,D9,,coincidentes varias bases
18632,D,D6277BKW,SAN JUAN,SAN LUIS,GOBERNADOR DUPUY,"-65,2500","-34,7500","-65,2","-34,71667",16977,D9,,coincidentes varias bases
4653,D,D6216UNI,UNION,SAN LUIS,GOBERNADOR DUPUY,"-65,9500","-35,1500","-65,95","-35,15",17082,D9,,acageopc
1884,D,D5881MLO,MERLO,SAN LUIS,JUNIN,"-65,0333","-32,3500","-65,03333","-32,35",16767,D1,,coincidentes varias bases
3226,D,D5701JKO,JUANA KOSLAY,SAN LUIS,LA CAPITAL,"-66,6167","-33,3167","-66,61667","-33,31667",16347,D8,Departamento La Capital o Juan Martin de Pueyrredon,wikipedia
21287,D,D5700WAY,LA NELIDA,SAN LUIS,LA CAPITAL,"-66,3833","-33,2667","-66,38333","-33,26667",16513,D8,,dices.net
4250,D,D5701,POTRERO DE LOS FUNES,SAN LUIS,LA CAPITAL,"-66,2333","-33,2167",,,16863,D8,,
1887,D,D5700SLS,SAN LUIS,SAN LUIS,LA CAPITAL,"-66,3500","-33,3000","-66,35423","-33,29945",16981,D8,,coincidentes varias bases
2342,Z,Z9011COL,CALETA OLIVA,SANTA CRUZ,DESEADO,"-67,5333","-46,4333","-67,85","-46,23333",17151,D7,,mapawi
